Number,Name,Labeling mode,Active,Description,Unit,Shelf life 1,Simple text 01,Simple text 02,Simple text 03,Static text parameter no.,Tare Weight,Unit Price,Special price,Automatic labeler parameter set no.,Code number 1,Code number 2,Code number 3,Code substring 1,Code substring 2,Code substring 3,Date text field no. 1,Date text field no. 2,Fixed weight,General number 01,General number 02,General text field no. 1,General text field no. 2,General text field no. 3,General text field no. 4,General text field no. 5,General text field no. 6,General text field no. 7,General text field no. 8,General text field no. 9,General text field no. 10,Label parameter set no.,Logo 1,Logo 2,Maximum weight,Minimum weight,Pieces per package,Weight class no.
84076518287,"Chicken Wings, BBQ Austin's Own FP Metro",FixedWeight,True,,lb,0,,,,0,0.00 lb,0.00 USD,0.00 USD,0,1,0,0,84076518287,,,,,0.00 lb,0,0,,^46;LOIN COUNTRY STYLE RIBS,,Color preservado con acido ascorbico (Vitamina C).,,,,,,,0,2,0,0.00 lb,0.00 lb,0,0
84076518288,"Meatballs, Cocktail Beef Marinara Bianco di Napoli FP Metro",FixedWeight,True,,lb,0,,,,76518288,0.00 lb,0.00 USD,0.00 USD,0,0,0,0,84076518288,,,,,0.00 lb,0,0,125,126,127,Color preservado con acido ascorbico (Vitamina C).,,,,,,,0,1,0,0.00 lb,0.00 lb,0,0
84076518289,"Chicken Bites, Boneless Buffalo FP Metro",FixedWeight,True,Description. edited by Tim 8/8/25,lb,18,,,,76518289,0.00 lb,8.98 USD,0.00 USD,0,1,0,0,84076518289,,,,,0.00 lb,0,0,,,,Color preservado con acido ascorbico (Vitamina C).,^01;Mejorado en suavidad y jugo a 12% de solucion,,,,,,0,2,0,0.00 lb,0.00 lb,0,0
84076518290,"Chicken Bites, Boneless Honey Chipotle Coleman FP Metro",FixedWeight,True,,lb,0,,,,76518290,0.0000 lb,9.99 USD,0.00 USD,0,1,0,0,84076518290,,,,,0.0000 lb,0,0,^1;Tenderness and Moistness enhanced by up to 12% flavoring solution.*,Color preservado con acido ascorbico (Vitamina C).,^4;^b+Potassium  500mg       14%,Color preservado con acido ascorbico (Vitamina C).,,,,,,,0,2,0,0.0000 lb,0.0000 lb,0,0
84076518291,"Chicken Wings, Buffalo Haks FP Metro",FixedWeight,True,,lb,0,,,,0,0.00 lb,0.00 USD,0.00 USD,0,1,0,0,84076518291,,,,,0.00 lb,0,0,,,,Color preservado con acido ascorbico (Vitamina C).,,,,,,,0,2,0,0.00 lb,0.00 lb,0,0
84076518293,"Chicken Bites, Ranch Dressing Pressery FP Metro",FixedWeight,True,,lb,0,,,,76518293,0.00 lb,0.00 USD,0.00 USD,0,1,0,0,84076518293,7777777,,,,0.00 lb,0,0,,^1;Tenderness and Moistness enhanced by up to 7% flavoring solution.*,,Color preservado con acido ascorbico (Vitamina C).,,,,,,,0,2,0,0.00 lb,0.00 lb,0,0
84076518295,"Chicken Strips, Fried Freebird FP Metro",FixedWeight,True,,lb,0,,,,0,0.00 lb,0.00 USD,0.00 USD,0,1,0,0,84076518295,,,,,0.00 lb,0,0,,,^112;LOIN COUNTRY STYLE RIBS,Color preservado con acido ascorbico (Vitamina C).,,,,,,,0,2,0,0.00 lb,0.00 lb,0,0
84076518296,"Dumplings, Chicken Teriyaki 9ct FP Metro",FixedWeight,True,,lb,0,,,,76518296,0.00 lb,0.00 USD,0.00 USD,0,1,0,0,84076518296,,,,,0.00 lb,0,0,"=$%$ GL07 DATEYEAR - 2020 =""#"" GL07 DATEYDAY =""###""",,,Color preservado con acido ascorbico (Vitamina C).,,,,,,,0,2,0,0.00 lb,0.00 lb,0,0
84076518297,"Empanada, Chicken Chipotle FP Metro",FixedWeight,True,,lb,0,,,,76518297,0.00 lb,0.00 USD,0.00 USD,0,1,0,0,84076518297,,,,,0.00 lb,0,0,,,,Color preservado con acido ascorbico (Vitamina C).,,,,,,,0,2,0,0.00 lb,0.00 lb,0,0
84076518307,"Chicken Breast, Grilled Teriyaki Bulk Metro",FixedWeight,True,,lb,0,,,,0,0.00 lb,0.00 USD,0.00 USD,0,1,0,0,84076518307,,,,,0.00 lb,0,0,,^Ac;^105;LOIN COUNTRY STYLE RIBS,^b+^04;Potassium  ^04;110^04;mg       ^04;3^04;%,Color preservado con acido ascorbico (Vitamina C).,,,,,,,0,2,0,0.00 lb,0.00 lb,0,0
84076518308,"Falafel, Zesty Tahini 9ct FP Metro",FixedWeight,True,,lb,0,,,,76518308,0.00 lb,0.00 USD,0.00 USD,0,1,0,0,84076518308,,,,,0.00 lb,0,0,,,,Color preservado con acido ascorbico (Vitamina C).,,,,,,,0,1,0,0.00 lb,0.00 lb,0,0
84076518310,"Chicken Breast, Lemon Rosemary Bulk Metro",FixedWeight,True,,lb,0,,,,76518310,0.00 lb,0.00 USD,0.00 USD,0,1,0,0,84076518310,,,,,0.00 lb,0,0,,,,Color preservado con acido ascorbico (Vitamina C).,,,,,,,0,2,0,0.00 lb,0.00 lb,0,0
84076518311,"Chicken Breast, Lemon Rosemary FP Metro",FixedWeight,True,,lb,0,,,,76518311,0.00 lb,0.00 USD,0.00 USD,0,1,0,0,84076518311,,,,,0.00 lb,0,0,,,,Color preservado con acido ascorbico (Vitamina C).,,,,,,,0,2,0,0.00 lb,0.00 lb,0,0
84076518315,"Chicken Breast, Grilled  Bulk Metro",FixedWeight,True,,lb,0,,,,0,0.00 lb,0.00 USD,0.00 USD,0,1,0,0,84076518315,,,,,0.00 lb,0,0,,,^Ac;^2;^b+Cook to a minimum internal temperature of 160 and let rest for 3 minutes.,Color preservado con acido ascorbico (Vitamina C).,,,,,,,0,2,0,0.00 lb,0.00 lb,0,0
84076518316,"Chicken Breast, Grilled  FP Metro",FixedWeight,True,,lb,0,,,,0,0.00 lb,0.00 USD,0.00 USD,0,1,0,0,84076518316,,,,,0.00 lb,0,0,,"^2;^b+Ensure internal temperature of 145 F with 3 minute rest. 
Endpoint temperature up to 195 F may be needed for best results.",^Ac;^2;^b+Cook to a minimum internal temperature of 160 and let rest for 3 minutes.,Color preservado con acido ascorbico (Vitamina C).,,,,,,,0,2,0,0.00 lb,0.00 lb,0,0
84076518319,"Dumplings, Shrimp 9ct FP Metro",FixedWeight,True,,lb,0,,,,76518319,0.00 lb,0.00 USD,0.00 USD,0,1,0,0,84076518319,,,,,0.00 lb,0,0,,,,Color preservado con acido ascorbico (Vitamina C).,,,,,,,0,1,0,0.00 lb,0.00 lb,0,0
84076518330,"Chicken Breast, Blackened FP Metro",FixedWeight,True,,lb,0,,,,76518330,0.00 lb,0.00 USD,0.00 USD,0,1,0,0,84076518330,,,,,0.00 lb,0,0,^1;Tenderness and Moistness enhanced by up to 9% flavoring solution.*,,,Color preservado con acido ascorbico (Vitamina C).,,,,,,,0,2,0,0.00 lb,0.00 lb,0,0
84076518331,"Chicken Breast, Blackened Bulk Metro",FixedWeight,True,,lb,0,,,,0,0.00 lb,0.00 USD,0.00 USD,0,1,0,0,84076518331,,,,,0.00 lb,0,0,^1;Tenderness and Moistness enhanced by up to 9% flavoring solution.*,,,Color preservado con acido ascorbico (Vitamina C).,,,,,,,0,2,0,0.00 lb,0.00 lb,0,0
84076518332,"Chicken Breast, Grilled Shawarma FP Metro",FixedWeight,True,,lb,0,,,,0,0.00 lb,0.00 USD,0.00 USD,0,1,0,0,84076518332,,,,,0.00 lb,0,0,,"^Ac;^2;Ingredients: Pork and 
^Ac;Natural Flavorings.",,Color preservado con acido ascorbico (Vitamina C).,,,,,,,0,2,0,0.00 lb,0.00 lb,0,0
84076518333,"Chicken Breast, Grilled Shawarma Bulk Metro",FixedWeight,True,,lb,0,,,,11,0.00 lb,0.00 USD,0.00 USD,0,1,0,0,84076518333,,,,,0.00 lb,0,0,,,,Color preservado con acido ascorbico (Vitamina C).,,,,,,,0,2,0,0.00 lb,0.00 lb,0,0
AZHARUL1,Chicken Salad,FixedWeight,True,,lb,0,,,,123,0.00 lb,0.00 USD,0.00 USD,0,0,0,0,12345678901,,,,,1.75 lb,0,0,7166 - 7188,"Chuletas De Lomo De Puerco-Corte De Mariposa,S/H","^Al;Chuletas De Lomo De Puerco-Corte De Mariposa, S/H",Color preservado con acido ascorbico (Vitamina C).,"^02;""Cook to a minimum internal temperature of 160 plus a 3 minute hold at temperature.""",,,,,,0,0,0,0.00 lb,0.00 lb,0,0
INAVRECIPE2,ABHINAVRECIPE1,Weight,True,,lb,0,,,,0,0.00 lb,0.00 USD,0.00 USD,0,0,0,0,,,,,,1.75 lb,0,0,"^b+Color is maintained by Ascorbic Acid(Vitamin C)
Est 18079","^Ac;^09;    With Up To 8% Solution Of Water, Contains 2% Or less Of Sodium Phosphates, 
^Ac;Potassium Acetate, Potassium Lactate And Salt To Improve Tenderness And Juiciness.",,,,,,,,,0,0,0,0.00 lb,0.00 lb,0,0
